Transaction_ID,Date,Customer_ID,Gender,Age,Category,Sub-Category,Quantity,Unit_Price,Cost_Price,Total_Sales,Total Cost,Region,Opening_Inventory,Closing_Inventory,Profit,Profit_Margin,Average_Inventory,Inventory_Days,Month,Season,Slow_Moving,Overstocked
T00001,2023-04-13,CUST535,Male,46.0,Clothing,Jeans,3,1016,759.0,3048,2277,Karnataka,152,149,771,25.29527559055118,150.5,1.4812992125984252,4,Spring,False,False
T00002,2023-05-02,CUST566,Male,40.0,Clothing,Jeans,3,633,513.0,1899,1539,Uttar Pradesh,153,150,360,18.95734597156398,151.5,2.4731437598736177,5,Spring,False,False
T00003,2023-06-01,CUST230,Male,39.0,Electronics,Mobiles,1,1394,973.0,1394,973,Tamil Nadu,87,86,421,30.20086083213773,86.5,1.8615494978479197,6,Summer,False,False
T00004,2023-07-11,CUST376,Male,50.0,Home & Kitchen,Furniture,4,717,650.0,2868,2600,Karnataka,138,134,268,9.344490934449093,136.0,1.4700139470013946,7,Summer,False,False
T00005,2023-02-18,CUST574,Male,59.0,Clothing,Jackets,4,452,363.0,1808,1452,Delhi,100,96,356,19.690265486725664,98.0,1.5176991150442478,2,Winter,False,False
T00006,2023-12-30,CUST666,Female,20.0,Clothing,Jeans,1,756,647.0,756,647,Delhi,67,66,109,14.417989417989418,66.5,2.726851851851852,12,Winter,False,False
T00007,2023-03-30,CUST415,Female,31.0,Home & Kitchen,Decor,2,494,447.0,988,894,Maharashtra,179,177,94,9.51417004048583,178.0,5.58502024291498,3,Spring,True,False
T00008,2023-12-06,CUST191,Male,24.0,Clothing,Jackets,4,608,546.0,2432,2184,Karnataka,130,126,248,10.197368421052632,128.0,1.631578947368421,12,Winter,False,False
T00009,2023-02-19,CUST971,Male,21.0,Electronics,Accessories,2,571,483.0,1142,966,Uttar Pradesh,53,51,176,15.411558669001751,52.0,1.274956217162872,2,Winter,False,False
T00010,2023-11-06,CUST576,Male,35.0,Sports,Sportswear,2,635,505.0,1270,1010,Karnataka,63,61,260,20.47244094488189,62.0,1.464566929133858,11,Fall,False,False
T00011,2023-12-17,CUST915,Male,38.654411764705884,Beauty,Skincare,4,803,553.7307949231797,3212,2452,Maharashtra,89,85,760,23.6612702366127,87.0,0.8396637608966376,12,Winter,False,False
T00012,2023-08-01,CUST819,Male,35.0,Clothing,Shirts,3,1051,846.0,3153,2538,Karnataka,173,170,615,19.50523311132255,171.5,1.6861718997779893,8,Summer,False,False
T00013,2023-02-10,CUST256,Female,32.0,Sports,Fitness,1,250,167.0,250,167,Maharashtra,137,136,83,33.2,136.5,15.288,2,Winter,True,False
T00014,2023-05-09,CUST747,Male,41.0,Beauty,Haircare,3,1153,834.0,3459,2502,Gujarat,82,79,957,27.66695576756288,80.5,0.7214512864989882,5,Spring,False,False
T00015,2023-09-18,CUST589,Female,56.0,Home & Kitchen,Cookware,2,295,204.0,590,408,Uttar Pradesh,121,119,182,30.847457627118647,120.0,6.101694915254237,9,Fall,False,False
T00016,2023-09-25,CUST132,Male,40.0,Electronics,Laptops,2,547,393.0,1094,786,Karnataka,153,151,308,28.153564899451556,152.0,4.16819012797075,9,Fall,False,False
T00017,2023-08-02,CUST646,Male,18.0,Home & Kitchen,Furniture,3,288,208.0,864,624,Karnataka,50,47,240,27.77777777777778,48.5,1.740162037037037,8,Summer,False,False
T00018,2023-01-05,CUST317,Female,31.0,Home & Kitchen,Cookware,3,189,136.0,567,408,Maharashtra,139,136,159,28.04232804232804,137.5,7.517636684303351,1,Winter,True,False
T00019,2023-02-11,CUST991,Female,30.0,Home & Kitchen,Decor,3,174,128.0,522,384,Delhi,101,98,138,26.436781609195403,99.5,5.337164750957855,2,Winter,True,False
T00020,2023-04-06,CUST833,Female,54.0,Sports,Sportswear,3,847,644.0,2541,1932,Delhi,78,75,609,23.96694214876033,76.5,0.9031877213695395,4,Spring,False,False
T00021,2023-02-05,CUST624,Female,49.0,Beauty,Skincare,3,420,361.0,1260,1083,Gujarat,115,112,177,14.047619047619047,113.5,2.522222222222222,2,Winter,False,False
T00022,2023-06-19,CUST656,Female,23.0,Home & Kitchen,Cookware,4,967,823.0,3868,3292,Delhi,79,75,576,14.891416752843847,77.0,0.5972078593588418,6,Summer,False,False
T00023,2023-11-27,CUST739,Male,45.0,Clothing,Jeans,1,442,386.0,442,386,Tamil Nadu,170,169,56,12.669683257918551,169.5,11.504524886877828,11,Fall,True,False
T00024,2023-10-10,CUST732,Female,30.0,Clothing,Jackets,1,436,374.0,436,374,Delhi,186,185,62,14.220183486238533,185.5,13.189220183486238,10,Fall,True,False
T00025,2023-11-14,CUST776,Female,50.0,Clothing,Shirts,3,410,342.0,1230,1026,Tamil Nadu,108,105,204,16.585365853658537,106.5,2.597560975609756,11,Fall,False,False
T00026,2023-06-09,CUST707,Female,41.0,Clothing,Shirts,1,522,463.0,522,463,Delhi,101,100,59,11.302681992337165,100.5,5.775862068965518,6,Summer,True,False
T00027,2023-09-25,CUST609,Female,56.0,Sports,Sportswear,2,859,741.0,1718,1482,Gujarat,130,128,236,13.736903376018628,129.0,2.252619324796275,9,Fall,False,False
T00028,2023-07-06,CUST212,Female,19.0,Sports,Fitness,2,523,470.0,1046,940,Gujarat,178,176,106,10.133843212237094,177.0,5.245697896749522,7,Summer,True,False
T00029,2023-05-06,CUST229,Male,43.0,Home & Kitchen,Furniture,4,799,598.0,3196,2392,Karnataka,172,168,804,25.15644555694618,170.0,1.648936170212766,5,Spring,False,False
T00030,2023-09-12,CUST393,Male,41.0,Sports,Fitness,1,906,669.0,906,669,Maharashtra,188,187,237,26.158940397350992,187.5,6.208609271523179,9,Fall,False,False
T00031,2023-08-28,CUST243,Male,50.0,Home & Kitchen,Furniture,1,457,389.0,457,389,Gujarat,142,141,68,14.87964989059081,141.5,9.598468271334792,8,Summer,True,False
T00032,2023-09-16,CUST759,Male,53.0,Home & Kitchen,Furniture,3,1054,740.0,3162,2220,Maharashtra,197,194,942,29.79127134724858,195.5,1.8548387096774193,9,Fall,False,False
T00033,2023-12-18,CUST810,Female,58.0,Home & Kitchen,Decor,1,598,458.0,598,458,Gujarat,153,152,140,23.411371237458194,152.5,7.90551839464883,12,Winter,True,False
T00034,2023-05-09,CUST878,Female,45.0,Electronics,Mobiles,1,297,202.0,297,202,Delhi,91,90,95,31.986531986531986,90.5,9.446127946127946,5,Spring,True,False
T00035,2023-04-09,CUST362,Male,33.0,Electronics,Mobiles,2,1286,984.0,2572,1968,Maharashtra,162,160,604,23.48367029548989,161.0,1.8779160186625194,4,Spring,False,False
T00036,2023-01-02,CUST996,Male,29.0,Home & Kitchen,Cookware,1,1232,910.0,1232,910,Gujarat,58,57,322,26.136363636363637,57.5,1.4468344155844155,1,Winter,False,False
T00037,2023-08-21,CUST198,Male,36.0,Clothing,T-Shirts,4,1243,862.0,4972,3448,Karnataka,103,99,1524,30.65164923572003,101.0,0.6297264682220435,8,Summer,False,False
T00038,2023-04-30,CUST772,Female,41.0,Home & Kitchen,Furniture,4,205,176.0,820,704,Karnataka,153,149,116,14.146341463414632,151.0,5.524390243902439,4,Spring,True,False
T00039,2023-12-06,CUST353,Male,52.0,Electronics,Mobiles,4,261,191.0,1044,764,Uttar Pradesh,142,138,280,26.81992337164751,140.0,4.157088122605364,12,Winter,False,False
T00040,2023-12-04,CUST805,Female,52.0,Beauty,Skincare,4,1165,995.0,4660,3980,Tamil Nadu,117,113,680,14.592274678111588,115.0,0.7650214592274679,12,Winter,False,False
T00041,2023-10-16,CUST497,Male,38.0,Home & Kitchen,Cookware,4,1050,772.0,4200,3088,Tamil Nadu,184,180,1112,26.476190476190474,182.0,1.3433333333333335,10,Fall,False,False
T00042,2023-07-14,CUST500,Female,50.0,Clothing,Jackets,4,230,184.0,920,736,Delhi,168,164,184,20.0,166.0,5.593478260869565,7,Summer,False,False
T00043,2023-01-22,CUST849,Female,47.0,Beauty,Haircare,2,1270,981.0,2540,1962,Karnataka,57,55,578,22.755905511811022,56.0,0.6834645669291338,1,Winter,False,False
T00044,2023-10-10,CUST126,Female,51.0,Electronics,Mobiles,1,735,552.0,735,552,Karnataka,110,109,183,24.897959183673468,109.5,4.618367346938776,10,Fall,False,False
T00045,2023-10-31,CUST758,Male,21.0,Clothing,Shirts,3,885,792.0,2655,2376,Delhi,95,92,279,10.508474576271185,93.5,1.091713747645951,10,Fall,False,False
T00046,2023-01-06,CUST198,Male,58.0,Home & Kitchen,Furniture,1,1189,935.0,1189,935,Tamil Nadu,144,143,254,21.362489486963835,143.5,3.741379310344828,1,Winter,False,False
T00047,2023-04-09,CUST799,Male,50.0,Electronics,Mobiles,4,458,365.0,1832,1460,Tamil Nadu,116,112,372,20.305676855895197,114.0,1.8668122270742358,4,Spring,False,False
T00048,2023-05-08,CUST117,Male,42.0,Beauty,Haircare,2,1299,943.0,2598,1886,Uttar Pradesh,153,151,712,27.405696689761356,152.0,1.8137028483448805,5,Spring,False,False
T00049,2023-06-23,CUST891,Female,49.0,Sports,Fitness,3,1146,991.0,3438,2973,Karnataka,179,176,465,13.525305410122165,177.5,1.5488656195462478,6,Summer,False,False
T00050,2023-09-30,CUST203,Male,50.0,Sports,Outdoor,1,911,732.0,911,732,Maharashtra,75,74,179,19.64873765093304,74.5,2.4533479692645446,9,Fall,False,False
T00051,2023-12-21,CUST917,Female,42.0,Home & Kitchen,Cookware,4,1203,922.0,4812,3688,Uttar Pradesh,106,102,1124,23.358270989193684,104.0,0.6699916874480466,12,Winter,False,False
T00052,2023-02-05,CUST784,Male,37.0,Sports,Fitness,1,206,164.0,206,164,Gujarat,191,190,42,20.388349514563107,190.5,25.893203883495147,2,Winter,True,False
