Transaction_ID,Date,Customer_ID,Gender,Age,Category,Sub-Category,Quantity,Unit_Price,Cost_Price,Total_Sales,Total Cost,Region,Opening_Inventory,Closing_Inventory
T00001,4/13/2023,CUST535,Male,46,Clothing,Jeans,3,1016,759,3048,2277,Karnataka,152,149
T00002,5/2/2023,CUST566,Male,40,Clothing,Jeans,3,633,513,1899,1539,Uttar Pradesh,153,150
T00003,6/1/2023,CUST230,Male,39,Electronics,Mobiles,1,1394,973,1394,973,Tamil Nadu,87,86
T00004,7/11/2023,CUST376,Male,50,Home & Kitchen,Furniture,4,717,650,2868,2600,Karnataka,138,134
T00005,2/18/2023,CUST574,Male,59,Clothing,Jackets,4,452,363,1808,1452,Delhi,100,96
T00006,12/30/2023,CUST666,Female,20,Clothing,Jeans,1,756,647,756,647,Delhi,67,66
T00007,3/30/2023,CUST415,Female,31,Home & Kitchen,Decor,2,494,447,988,894,Maharashtra,179,177
T00008,12/6/2023,CUST191,,24,Clothing,Jackets,4,608,546,2432,2184,Karnataka,130,126
T00009,2/19/2023,CUST971,Male,21,Electronics,Accessories,2,571,483,1142,966,Uttar Pradesh,53,51
T00010,11/6/2023,CUST576,Male,35,Sports,Sportswear,2,635,505,1270,1010,,63,61
T00011,12/17/2023,CUST915,,,Beauty,Skincare,4,803,,3212,2452,Maharashtra,89,85
T00012,8/1/2023,CUST819,Male,35,Clothing,Shirts,3,1051,846,3153,2538,Karnataka,173,170
T00013,2/10/2023,CUST256,Female,32,Sports,Fitness,1,250,167,250,167,Maharashtra,137,136
T00014,5/9/2023,CUST747,Male,41,Beauty,Haircare,3,1153,834,3459,2502,Gujarat,82,79
T00015,9/18/2023,CUST589,Female,56,Home & Kitchen,Cookware,2,295,204,590,408,Uttar Pradesh,121,119
T00016,9/25/2023,CUST132,Male,40,Electronics,Laptops,2,547,393,1094,786,Karnataka,153,151
T00017,8/2/2023,CUST646,Male,18,Home & Kitchen,Furniture,3,288,208,864,624,Karnataka,50,47
T00018,1/5/2023,CUST317,Female,31,Home & Kitchen,Cookware,3,189,136,567,408,Maharashtra,139,136
T00019,2/11/2023,CUST991,Female,30,Home & Kitchen,Decor,3,174,128,522,384,Delhi,101,98
T00020,4/6/2023,CUST833,Female,54,Sports,Sportswear,3,847,644,2541,1932,Delhi,78,75
T00021,2/5/2023,CUST624,Female,49,Beauty,Skincare,3,420,361,1260,1083,Gujarat,115,112
T00022,6/19/2023,CUST656,Female,23,Home & Kitchen,Cookware,4,967,823,3868,3292,Delhi,79,75
T00023,11/27/2023,CUST739,,45,Clothing,Jeans,1,442,386,442,386,Tamil Nadu,170,169
T00024,10/10/2023,CUST732,Female,30,Clothing,Jackets,1,436,374,436,374,Delhi,186,185
T00025,11/14/2023,CUST776,Female,50,Clothing,Shirts,3,410,342,1230,1026,Tamil Nadu,108,105
T00026,6/9/2023,CUST707,Female,41,Clothing,Shirts,1,522,463,522,463,Delhi,101,100
T00027,9/25/2023,CUST609,Female,56,Sports,Sportswear,2,859,741,1718,1482,Gujarat,130,128
T00028,7/6/2023,CUST212,Female,19,Sports,Fitness,2,523,470,1046,940,Gujarat,178,176
T00029,5/6/2023,CUST229,Male,43,Home & Kitchen,Furniture,4,799,598,3196,2392,Karnataka,172,168
T00030,9/12/2023,CUST393,Male,41,Sports,Fitness,1,906,669,906,669,Maharashtra,188,187
T00031,8/28/2023,CUST243,Male,50,Home & Kitchen,Furniture,1,457,389,457,389,Gujarat,142,141
T00032,9/16/2023,CUST759,Male,53,Home & Kitchen,Furniture,3,1054,740,3162,2220,Maharashtra,197,194
T00033,12/18/2023,CUST810,Female,58,Home & Kitchen,Decor,1,598,458,598,458,Gujarat,153,152
T00034,5/9/2023,CUST878,Female,45,Electronics,Mobiles,1,297,202,297,202,Delhi,91,90
T00035,4/9/2023,CUST362,Male,33,Electronics,Mobiles,2,1286,984,2572,1968,Maharashtra,162,160
T00036,1/2/2023,CUST996,Male,29,Home & Kitchen,Cookware,1,1232,910,1232,910,Gujarat,58,57
T00037,8/21/2023,CUST198,,36,Clothing,T-Shirts,4,1243,862,4972,3448,Karnataka,103,99
T00038,4/30/2023,CUST772,Female,41,Home & Kitchen,Furniture,4,205,176,820,704,Karnataka,153,149
T00039,12/6/2023,CUST353,Male,52,Electronics,Mobiles,4,261,191,1044,764,Uttar Pradesh,142,138
T00040,12/4/2023,CUST805,Female,52,Beauty,Skincare,4,1165,995,4660,3980,Tamil Nadu,117,113
T00041,10/16/2023,CUST497,Male,38,Home & Kitchen,Cookware,4,1050,772,4200,3088,Tamil Nadu,184,180
T00042,7/14/2023,CUST500,Female,50,Clothing,Jackets,4,230,184,920,736,Delhi,168,164
T00043,1/22/2023,CUST849,Female,47,Beauty,Haircare,2,1270,981,2540,1962,Karnataka,57,55
T00044,10/10/2023,CUST126,Female,51,Electronics,Mobiles,1,735,552,735,552,Karnataka,110,109
T00045,10/31/2023,CUST758,Male,21,Clothing,Shirts,3,885,792,2655,2376,Delhi,95,92
T00046,1/6/2023,CUST198,Male,58,Home & Kitchen,Furniture,1,1189,935,1189,935,Tamil Nadu,144,143
T00047,4/9/2023,CUST799,Male,50,Electronics,Mobiles,4,458,365,1832,1460,Tamil Nadu,116,112
T00048,5/8/2023,CUST117,Male,42,Beauty,Haircare,2,1299,943,2598,1886,Uttar Pradesh,153,151
T00049,6/23/2023,CUST891,Female,49,Sports,Fitness,3,1146,991,3438,2973,Karnataka,179,176
T00050,9/30/2023,CUST203,,50,Sports,Outdoor,1,911,732,911,732,Maharashtra,75,74
T00051,12/21/2023,CUST917,Female,42,Home & Kitchen,Cookware,4,1203,922,4812,3688,Uttar Pradesh,106,102
T00052,2/5/2023,CUST784,Male,37,Sports,Fitness,1,206,164,206,164,Gujarat,191,190
T00053,5/23/2023,CUST191,Male,51,Beauty,Haircare,2,677,495,1354,990,Maharashtra,100,98
T00054,6/2/2023,CUST797,Male,39,Home & Kitchen,Furniture,2,1049,874,2098,1748,Tamil Nadu,119,117
T00055,9/28/2023,CUST153,Female,54,Electronics,Mobiles,1,1021,845,1021,845,Uttar Pradesh,157,156
T00056,1/5/2023,CUST202,Male,21,Sports,Fitness,2,192,147,384,294,Uttar Pradesh,96,94
T00057,12/21/2023,CUST922,Male,57,Sports,Sportswear,4,327,219,1308,876,Maharashtra,155,151
T00058,6/7/2023,CUST758,Male,34,Home & Kitchen,Cookware,4,438,344,1752,1376,Uttar Pradesh,139,135
T00059,8/17/2023,CUST573,Female,,Sports,Sportswear,3,918,726,2754,2178,Uttar Pradesh,107,104
T00060,5/2/2023,CUST612,Male,51,Home & Kitchen,Decor,4,824,594,3296,2376,Uttar Pradesh,166,162
T00061,9/29/2023,CUST288,Male,56,Electronics,Mobiles,4,805,599,3220,2396,Karnataka,125,121
T00062,6/3/2023,CUST755,,54,Sports,Outdoor,2,129,113,258,226,Delhi,118,116
T00063,2/16/2023,CUST193,Female,22,Beauty,Skincare,4,162,115,648,460,Gujarat,134,130
T00064,2/8/2023,CUST711,Male,50,Clothing,Shirts,2,618,490,1236,980,Uttar Pradesh,59,57
T00065,9/3/2023,CUST936,Female,53,Electronics,Accessories,2,370,335,740,670,Maharashtra,196,194
T00066,4/6/2023,CUST868,Female,22,Sports,Fitness,1,278,247,278,247,Gujarat,51,50
T00067,6/9/2023,CUST574,Male,37,Home & Kitchen,Cookware,4,943,709,3772,2836,Gujarat,82,78
T00068,6/28/2023,CUST526,Male,54,Home & Kitchen,Cookware,4,664,447,2656,1788,Gujarat,123,119
T00069,2/12/2023,CUST655,Male,46,Electronics,Mobiles,1,367,293,367,293,Karnataka,84,83
T00070,8/3/2023,CUST948,Female,43,Clothing,Jackets,4,613,447,2452,1788,Delhi,164,160
T00071,4/15/2023,CUST295,Female,28,Beauty,Haircare,1,171,135,171,135,Maharashtra,187,186
T00072,12/23/2023,CUST556,Female,41,Electronics,Mobiles,4,861,618,3444,2472,Delhi,85,81
T00073,4/6/2023,CUST763,Male,40,Clothing,Shirts,2,724,606,1448,1212,Delhi,62,60
T00074,10/6/2023,CUST316,Male,52,Beauty,Haircare,1,578,440,578,440,Maharashtra,133,132
T00075,8/5/2023,CUST441,Female,30,Electronics,Accessories,3,213,190,639,570,Uttar Pradesh,196,193
